#    log(Mbh)  perr  merr  log(sigma)  err  mag_sph  perr  merr  mag_tot  err  		log(n_maj)  log(n_eq)  perr  merr  log(Re_maj)  log(Re_eq)  perr  merr  mu_e_maj  mu_e_eq  perr  merr 		mu_0_maj  mu_0_eq  perr  merr 
9.38021124171     0.151267675331	  0.234083206033     2.48572142648	0.0211892990699     -26.1533917002     0.177975	 0.114466666667     -26.1534086551     0.25	  0.816413657488     0.846330925555	 0.0560640025682     0.078207140205     0.938819314266	  0.896788539037     0.0661586628819	 0.113928049325     18.4907     18.5882	  0.565617107022     0.338344889058	 4.62213468401     3.70502159618     0.637432251085	  0.199915902664     
9.04139268516     0.0725506671486	  0.0871501757189     2.52504480704	0.0211892990699     -26.3512720461     0.177975	 0.114466666667     -26.3512333917     0.25	  0.766182252875     0.791416936213	 0.0560640025682     0.078207140205     1.11398614711	  1.12812949271     0.0661586628819	 0.113928049325     19.3236     19.4799	  0.565617107022     0.338344889058	 7.00895868326     6.40707991998     0.637432251085	  0.199915902664     
8.60205999133     0.0969100130081	  0.124938736608     2.32014628611	0.0211892990699     -24.2932861235     0.660240254075	 0.579525     -24.2932389984     0.25	  0.713885176907     0.72069666875	 0.16658159909     0.206353027617     0.45547163956	  0.405255280686     0.324813281979	 0.298095403867     17.9334     17.8373	  1.58716133752     0.835875363549	 7.05644264053     6.78274933147     1.24080015388	  0.703949828849     
9.39794000867     0.0492180226702	  0.0177287669604     2.47712125472	0.0211892990699     -26.5431540879     0.177975	 0.114466666667     -26.54313191     0.25	  0.818529397662     0.734847815278	 0.0560640025682     0.078207140205     1.19878569344	  1.05079134816     0.0661586628819	 0.113928049325     19.3331     18.8323	  0.565617107022     0.338344889058	 5.39506413393     7.39977882007     0.637432251085	  0.199915902664     
8.59106461765     0.0424038481672	  0.0469965622021     2.35218251811	0.0211892990699     -25.1795000115     0.177975	 0.114466666667     -25.2676586045     0.25	  0.744269507111     0.943880164329	 0.0560640025682     0.078207140205     0.617334716351	  0.894714000408     0.0661586628819	 0.113928049325     18.0179     19.6715	  0.565617107022     0.338344889058	 6.32678959014     0.949690296772     0.637432251085	  0.199915902664     
8.95424250944     0.0413926841123	  0.040428657687     2.47129171106	0.0211892990699     -26.0098651549     0.660240254075	 0.579525     -26.0098671135     0.25	  0.891336710367     0.895886429714	 0.16658159909     0.206353027617     0.945516908856	  1.05174541535     0.324813281979	 0.298095403867     19.0088     19.5673	  1.58716133752     0.835875363549	 2.46135366448     2.84180949392     1.24080015388	  0.703949828849     
9.76342799356     0.0254471222125	  0.0270314912863     2.52374646681	0.0211892990699     -25.9974229918     0.660240254075	 0.579525     -25.9974706219     0.25	  0.99972196255     0.767304317453	 0.16658159909     0.206353027617     1.18619250795	  0.818812845389     0.324813281979	 0.298095403867     19.8729     18.2577	  1.58716133752     0.835875363549	 -1.46710546443     5.91026944988     1.24080015388	  0.703949828849     
8.67209784031     0.0439054873937	  0.048848569636     2.40140054078	0.0211892990699     -24.4830313421     0.660240254075	 0.579525     -24.7441961521     0.25	  0.663861047846     0.707919174534	 0.16658159909     0.206353027617     0.320889487351	  0.308913209481     0.324813281979	 0.298095403867     17.1438     17.1503	  1.58716133752     0.835875363549	 7.48911653477     6.4266154586     1.24080015388	  0.703949828849     
7.5910645911     0.221848749616	  0.113943362263     2.30102999566	0.0211892990699     -23.9977792871     0.8781	 0.660255341786     -24.2595415345     0.25	  0.726987870438     0.782479790683	 0.246991455494     0.245264323949     0.616637166363	  0.330415302929     0.415780714824	 0.38899756588     18.4005     17.8339	  1.73878794265     1.0617725411	 7.1794305317     5.03465230954     1.56815159736	  1.04887878327     
8.76342799356     0.0359125558906	  0.0391521239621     2.22271647115	0.0211892990699     -23.6832964212     0.177975	 0.114466666667     -23.7010962103     0.25	  0.570729693048     0.610053003935	 0.0560640025682     0.078207140205     0.377909460527	  0.364072371913     0.0661586628819	 0.113928049325     18.0557     18.1072	  0.565617107022     0.338344889058	 10.3332311468     9.61913446725     0.637432251085	  0.199915902664     
8.67209784031     0.052178015614	  0.0593140063206     2.51719589795	0.0211892990699     -26.4280086497     0.177975	 0.114466666667     -26.4616821498     0.25	  1.00009119227     1.00021275218	 0.0560640025682     0.078207140205     1.58101516443	  1.50240416931     0.0661586628819	 0.113928049325     21.7965     21.5308	  0.565617107022     0.338344889058	 0.438037020094     0.166256897347     0.637432251085	  0.199915902664     
9.55630250077     0.0118992232997	  0.024823583725     2.47275644932	0.0211892990699     -26.2812693486     0.177975	 0.114466666667     -26.2813140156     0.25	  0.881789657203     0.818997433624	 0.0560640025682     0.078207140205     1.39730513881	  1.10465658569     0.0661586628819	 0.113928049325     20.4283     19.4662	  0.565617107022     0.338344889058	 4.24845080938     5.51274667982     0.637432251085	  0.199915902664     
7.88649071441     0.021994293758	  0.0352323765422     2.14301480025	0.0211892990699     -23.4945324897     0.660240254075	 0.579525     -23.5680710561     0.25	  0.887583545567     0.962497189815	 0.16658159909     0.206353027617     0.514217468558	  0.685489085192     0.324813281979	 0.298095403867     19.1561     20.3333	  1.58716133752     0.835875363549	 2.7541257489     0.775756834428     1.24080015388	  0.703949828849     
8.38021125897     0.0511525224474	  0.0579919469777     2.37474834601	0.0211892990699     -24.3503304218     0.177975	 0.114466666667     -24.4158820361     0.25	  0.68567009649     0.65729493598	 0.0560640025682     0.078207140205     0.521326266984	  0.480936965933     0.0661586628819	 0.113928049325     18.1001     18.0817	  0.565617107022     0.338344889058	 7.92980780665     8.57724929147     0.637432251085	  0.199915902664     
8.49136168047     0.161850821797	  0.0934216925105     2.31386722037	0.0211892990699     -25.5169730568     0.660240254075	 0.579525     -25.5537690423     0.25	  0.715844630115     0.802185148285	 0.16658159909     0.206353027617     0.996657298297	  0.911597124332     0.324813281979	 0.298095403867     19.1306     19.2446	  1.58716133752     0.835875363549	 8.20284675317     5.83459995584     1.24080015388	  0.703949828849     
8.11394333638     0.141329157221	  0.210853375271     2.35024801833	0.0211892990699     -25.3644648723     0.660240254075	 0.579525     -25.4455310614     0.25	  0.737828505896     0.744895100221	 0.16658159909     0.206353027617     0.872526944036	  0.848448193545     0.324813281979	 0.298095403867     18.9967     19.0115	  1.58716133752     0.835875363549	 7.48298231898     7.30303437788     1.24080015388	  0.703949828849     
8.30102999566     0.19033170151	  0.154901967382     2.2833012287	0.0211892990699     -24.4960243152     0.660240254075	 0.579525     -24.496030567     0.25	  0.715008338466     0.75394290696	 0.16658159909     0.206353027617     0.710260534846	  0.671095186879     0.324813281979	 0.298095403867     18.9348     19.0042	  1.58716133752     0.835875363549	 8.02876147726     7.04170524001     1.24080015388	  0.703949828849     
9.98677173427     0.11703198669	  0.135513385547     2.43136376416	0.0211892990699     -26.9998754922     0.177975	 0.114466666667     -27.0411428452     0.25	  0.909395545967     0.914295546101	 0.0560640025682     0.078207140205     1.68151748572	  1.54568256558     0.0661586628819	 0.113928049325     21.4318     21.0696	  0.565617107022     0.338344889058	 4.16651458696     3.60433854506     0.637432251085	  0.199915902664     
8.69897000434     0.0791812460476	  0.0969100130081     2.48995847942	0.0211892990699     -25.7200535825     0.660240254075	 0.579525     -25.7601790797     0.25	  0.670885687484     0.638209621074	 0.16658159909     0.206353027617     0.895338323245	  0.848929793781     0.324813281979	 0.298095403867     18.581     18.5288	  1.58716133752     0.835875363549	 8.76305494362     9.44832188391     1.24080015388	  0.703949828849     
8.5185139336     0.104735349399	  0.615423972497     2.45484486001	0.0211892990699     -24.0462009022     0.660240254075	 0.579525     -24.0462154658     0.25	  0.627765141968     0.768053222679	 0.16658159909     0.206353027617     0.266823049315	  0.278390322519     0.324813281979	 0.298095403867     17.1447     17.5077	  1.58716133752     0.835875363549	 8.28846871574     5.13833757854     1.24080015388	  0.703949828849     
8.0791812633     0.124938733912	  0.602059905041     2.25285303098	0.0211892990699     -23.8796571541     0.660240254075	 0.579525     -24.106589762     0.25	  0.358677084513     0.462068408087	 0.16658159909     0.206353027617     0.532081821695	  0.437389162963     0.324813281979	 0.298095403867     17.9256     18.1001	  1.58716133752     0.835875363549	 13.323011003     12.1655789316     1.24080015388	  0.703949828849     
8.2552724936     0.0457574923583	  0.0248235847825     2.23299611039	0.0211892990699     -24.8182242567     0.8781	 0.660255341786     -24.9405909123     0.25	  0.858603359279     0.823813185647	 0.246991455494     0.245264323949     1.12139809705	  1.0973264066     0.415780714824	 0.38899756588     20.6217     20.8986	  1.73878794265     1.0617725411	 5.30167104845     6.78556002474     1.56815159736	  1.04887878327     
10.3222192947     0.245982429333	  0.623249290398     2.54032947479	0.0211892990699     -27.5418984865     0.177975	 0.114466666667     -27.5418520986     0.25	  0.906991913613     0.831428219708	 0.0560640025682     0.078207140205     1.7773403696	  1.4834830284     0.0661586628819	 0.113928049325     21.0119     20.115	  0.565617107022     0.338344889058	 3.8438965509     5.7459765617     0.637432251085	  0.199915902664     
8.86923172533     0.213553641566	  0.225779039429     2.40654018043	0.0211892990699     -25.4536860802     0.177975	 0.114466666667     -25.4537348636     0.25	  0.621736969974     0.75876054391	 0.0560640025682     0.078207140205     0.671434592838	  0.661680343055     0.0661586628819	 0.113928049325     17.6728     18.0053	  0.565617107022     0.338344889058	 8.94355015063     5.90536760351     0.637432251085	  0.199915902664     
8.20411998913     0.0746336199999	  0.124938736608     2.23299611039	0.0211892990699     -24.4411584041     0.177975	 0.114466666667     -24.4411516367     0.25	  0.524785449321     0.566343198218	 0.0560640025682     0.078207140205     0.869131108019	  0.773106848504     0.0661586628819	 0.113928049325     19.4083     19.3419	  0.565617107022     0.338344889058	 12.4967453315     11.7006110808     0.637432251085	  0.199915902664     
9.04139268516     0.0377885608894	  0.0413926851582     2.37474834601	0.0211892990699     -25.8143768299     0.660240254075	 0.579525     -25.8143631124     0.25	  0.809472173592     0.753843404342	 0.16658159909     0.206353027617     1.09115159643	  0.990663541974     0.324813281979	 0.298095403867     19.673     19.2836	  1.58716133752     0.835875363549	 6.03003410034     7.32392815414     1.24080015388	  0.703949828849     
8.77085201866     0.126775077871	  0.179787401016     2.49276038903	0.0211892990699     -26.7472584227     0.177975	 0.114466666667     -26.7473013608     0.25	  0.833338388939     0.746470724014	 0.0560640025682     0.078207140205     1.32532487495	  1.18430311025     0.0661586628819	 0.113928049325     19.8199     19.3099	  0.565617107022     0.338344889058	 5.38594953665     7.55757063521     0.637432251085	  0.199915902664     
8.56820172966     0.231138816503	  0.225779039429     2.44247976906	0.0211892990699     -26.3235403968     0.177975	 0.114466666667     -26.3235363887     0.25	  0.62144633312     0.744472923734	 0.0560640025682     0.078207140205     1.28157691238	  1.07588362999     0.0661586628819	 0.113928049325     19.3756     19.1891	  0.565617107022     0.338344889058	 10.6524302734     7.49234376187     0.637432251085	  0.199915902664     
