# galaxy re_sph_Rmaj_gaussian_combscale mue_sph_Rmaj_gaussian_combscale n_sph_Rmaj_gaussian_combscale b_sph_Rmaj_gaussian_combscale mtot_sph_Rmaj_gaussian_combscale h_disc_Rmaj_gaussian_combscale mu0_disc_Rmaj_gaussian_combscale mtot_disc_Rmaj_gaussian_combscale Delta_Rmaj_gaussian_combscale re_sph_Rmaj_gaussian_logscale mue_sph_Rmaj_gaussian_logscale n_sph_Rmaj_gaussian_logscale b_sph_Rmaj_gaussian_logscale mtot_sph_Rmaj_gaussian_logscale h_disc_Rmaj_gaussian_logscale mu0_disc_Rmaj_gaussian_logscale mtot_disc_Rmaj_gaussian_logscale Delta_Rmaj_gaussian_logscale re_sph_Rmaj_moffat_combscale mue_sph_Rmaj_moffat_combscale n_sph_Rmaj_moffat_combscale b_sph_Rmaj_moffat_combscale mtot_sph_Rmaj_moffat_combscale h_disc_Rmaj_moffat_combscale mu0_disc_Rmaj_moffat_combscale mtot_disc_Rmaj_moffat_combscale Delta_Rmaj_moffat_combscale re_sph_Rmaj_moffat_logscale mue_sph_Rmaj_moffat_logscale n_sph_Rmaj_moffat_logscale b_sph_Rmaj_moffat_logscale mtot_sph_Rmaj_moffat_logscale h_disc_Rmaj_moffat_logscale mu0_disc_Rmaj_moffat_logscale mtot_disc_Rmaj_moffat_logscale Delta_Rmaj_moffat_logscale re_sph_Req_gaussian_combscale mue_sph_Req_gaussian_combscale n_sph_Req_gaussian_combscale b_sph_Req_gaussian_combscale mtot_sph_Req_gaussian_combscale h_disc_Req_gaussian_combscale mu0_disc_Req_gaussian_combscale mtot_disc_Req_gaussian_combscale Delta_Req_gaussian_combscale re_sph_Req_gaussian_logscale mue_sph_Req_gaussian_logscale n_sph_Req_gaussian_logscale b_sph_Req_gaussian_logscale mtot_sph_Req_gaussian_logscale h_disc_Req_gaussian_logscale mu0_disc_Req_gaussian_logscale mtot_disc_Req_gaussian_logscale Delta_Req_gaussian_logscale re_sph_Req_moffat_combscale mue_sph_Req_moffat_combscale n_sph_Req_moffat_combscale b_sph_Req_moffat_combscale mtot_sph_Req_moffat_combscale h_disc_Req_moffat_combscale mu0_disc_Req_moffat_combscale mtot_disc_Req_moffat_combscale Delta_Req_moffat_combscale re_sph_Req_moffat_logscale mue_sph_Req_moffat_logscale n_sph_Req_moffat_logscale b_sph_Req_moffat_logscale mtot_sph_Req_moffat_logscale h_disc_Req_moffat_logscale mu0_disc_Req_moffat_logscale mtot_disc_Req_moffat_logscale Delta_Req_moffat_logscale















m105 -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99 















circinus -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99 















ic1459 -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99 















ic2560 -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99 















ic4296 -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99 















