# MAGSph err_MAGSph logMassBH err_logMassBH 
-0.42442632045 0.146220833333 9.38021124171 0.192675440682 
-0.62230666635 0.146220833333 9.04139268516 0.0798504214338 
1.81784735335 0.619882627037 8.80617998046 0.0271788311613 
1.43567925625 0.619882627037 8.60205999133 0.110924374808 
-0.81418870815 0.146220833333 9.39794000867 0.0334733948153 
-0.28089977515 0.619882627037 8.95424250944 0.0409106708996 
-0.26845761205 0.619882627037 9.76342799356 0.0262393067494 
1.24593403765 0.619882627037 8.67209784031 0.0463770285148 
2.53888577465 0.146220833333 8.91907810236 0.0981473198826 
-0.69904326995 0.146220833333 8.67209784031 0.0557460109673 
-0.55230396885 0.146220833333 9.55630250077 0.0183614035124 
1.23294106455 0.619882627037 8.30102999566 0.172616834446 
-1.27091011245 0.146220833333 9.98677173427 0.126272686118 
0.00891179724999 0.619882627037 8.69897000434 0.0880456295278 
1.68276447755 0.619882627037 8.5185139336 0.360079660947 
-1.81293310675 0.146220833333 10.3222192947 0.434615859865 
0.27527929955 0.146220833333 8.86923172533 0.219666340497 
-0.08541145015 0.619882627037 9.04139268516 0.0395906230238 
-1.01829304295 0.146220833333 8.77085201866 0.153281239443 
-0.59457501705 0.146220833333 8.56820172966 0.228458927966 
-0.62221389205 0.619882627037 9.39794000867 0.0880456295278 
-1.17228011845 0.619882627037 9.11394335231 0.150514997832 
