# Msph err_Msph logMassBH err_logMassBH 
0.0474821788639 -0.247953050815 6.64345267413 0.301029995664 
-0.405001434002 -0.0584883333334 7.5910645911 0.0111381975152 
0.202724265153 -0.0584883333334 8.14612802828 0.160167577987 
-0.160791439832 -0.0584883333334 6.20412000328 0.110924374808 
0.318509566376 -0.307671068357 7.86923172533 0.0891915251062 
0.03107012645 -0.0584883333334 6.77815124068 0.103236949728 
0.0197670952722 -0.0584883333334 6.86332285374 0.0905273385803 
0.207240134305 -0.0584883333334 7.62324927684 0.0414871179026 
-0.126408961284 -0.247953050815 7.86332287147 0.28625236213 
0.336439230015 -0.247953050815 6.91907807585 0.020946082459 
-0.426495600375 -0.0584883333334 7.14612803753 0.602059875052 
-0.564527900784 -0.247953050815 7.17609127631 0.340620607903 
-0.889625277457 -0.247953050815 7.6020599978 0.0496923153326 
0.287266748985 -0.247953050815 8.23044893356 0.0513311702674 
0.402502525942 -0.247953050815 6.38021124549 0.301029995664 
-0.1415030663 -0.247953050815 7.14612803753 0.238560623989 
0.0390410781432 -0.0584883333334 8.30102999566 0.110924374808 
0.111651063705 -0.0584883333334 7.23044892595 0.0395906216757 
0.471206993951 -0.247953050815 7.53147892161 0.0255762603811 
-0.343114099775 -0.247953050815 6.76342798107 0.0602869702604 
-0.0772236452415 -0.307671068357 8.90848503933 0.105964836148 
-0.268655166257 -0.307671068357 8.2552724936 0.102059997799 
0.482912854807 -0.247953050815 7.81291334071 0.0469522533713 
-0.302495250931 -0.307671068357 6.87506128065 0.0115839326159 
0.499493481545 -0.247953050815 7.83250891727 0.084061160625 
-0.0549401116953 -0.0584883333334 7.77815126764 0.0458851860358 
0.222120352542 -0.0584883333334 7.89762710309 0.202714014191 
-0.409998630015 -0.247953050815 6.14612804908 0.301029995665 
0.187975258305 -0.307671068357 8.41497333204 0.217864297136 
0.303377629589 -0.307671068357 7.03342376675 0.0201206084162 
