# MAGGal err_MAGGal logMassBH err_logMassBH 
-1.27662649098 0.25 9.38021124171 0.192675440682 
-1.47445122758 0.25 9.04139268516 0.0798504214338 
0.58354316572 0.25 8.60205999133 0.110924374808 
-1.66634974588 0.25 9.39794000867 0.0334733948153 
-0.39087644038 0.25 8.59106461765 0.0447002051846 
-1.13308494938 0.25 8.95424250944 0.0409106708996 
-1.12068845778 0.25 9.76342799356 0.0262393067494 
0.13258601202 0.25 8.67209784031 0.0463770285148 
-0.04793957368 0.25 8.91907810236 0.0981473198826 
0.61724062962 0.25 7.5910645911 0.16789605594 
0.67559012682 0.25 7.62324927684 0.0414871179026 
-0.07636795628 0.25 9.16136800223 0.0602869656029 
1.17568595382 0.25 8.76342799356 0.0375323399264 
-1.58489998568 0.25 8.67209784031 0.0557460109673 
2.28050141542 0.25 7.14612803753 0.602059875052 
2.43830112752 0.25 7.17609127631 0.340620607903 
2.59684006382 0.25 7.6020599978 0.0496923153326 
-1.40453185148 0.25 9.55630250077 0.0183614035124 
0.48081051322 0.25 8.94448268156 0.244414004237 
0.99576272722 0.25 8.30102999566 0.110924374808 
1.30871110802 0.25 7.88649071441 0.0286133351501 
1.13357360132 0.25 7.23044892595 0.0395906216757 
0.46090012802 0.25 8.38021125897 0.0545722347125 
-0.67698687818 0.25 8.49136168047 0.127636257154 
-0.56874889728 0.25 8.11394333638 0.176091266246 
0.38075159712 0.25 8.30102999566 0.172616834446 
-2.16436068108 0.25 9.98677173427 0.126272686118 
1.34686137472 0.25 8.90848503933 0.105964836148 
1.71881965272 0.25 8.2552724936 0.102059997799 
-0.88339691558 0.25 8.69897000434 0.0880456295278 
0.83056669832 0.25 8.5185139336 0.360079660947 
0.86326183652 0.25 7.83250891727 0.084061160625 
0.77019240212 0.25 8.0791812633 0.363499319479 
1.88491504182 0.25 7.77815126764 0.0458851860358 
0.70160801312 0.25 7.89762710309 0.202714014191 
-0.06380874818 0.25 8.2552724936 0.0352905385703 
-2.66506993448 0.25 10.3222192947 0.434615859865 
-0.57695269948 0.25 8.86923172533 0.219666340497 
0.43563052742 0.25 8.20411998913 0.0997861783042 
1.77683673002 0.25 8.41497333204 0.217864297136 
-0.93758094828 0.25 9.04139268516 0.0395906230238 
-1.87051919668 0.25 8.77085201866 0.153281239443 
-1.44675422458 0.25 8.56820172966 0.228458927966 
-1.53504415818 0.25 9.39794000867 0.0880456295278 
-2.02445048538 0.25 9.11394335231 0.150514997832 
