# dir      Re_gal_kpc         
  ic1459   8.013388194593047  
  ic2560   4.558072861721767  
  ic4296   13.575558982264505 
  m104     2.36273945176426   
  m105     2.571694091894584  
  m106     2.677335001079546  
  m31      4.60611741822412   
  m49      10.970605265775436 
  m59      6.38596575288399   
  m60      8.84940063894926   
  m64      2.0774751998637377 
  m81      2.477882573807231  
  m84      11.151440616413701 
  m87      6.632832257658404  
  m89      3.4023738552975957 
  m94      1.1497841703773124 
  m96      2.2818239883272704 
  n0524    3.0838512725487988 
  n0821    2.5298547167610956 
  n1023    1.727439452271534  
  n1300    6.161885058076693  
  n1316    8.918341248296095  
  n1332    2.0865895182095917 
  n1374    2.328075248026917  
  n1399    25.06534479450247  
  n2273    1.9344066329822585 
  n2549    0.7454010398033261 
  n2778    1.1027571981189983 
  n2787    0.6830539678443955 
  n2974    1.8947973913848495 
  n3079    1.3648474734724763 
  n3091    13.311383411390732 
  n3115    1.6041515085537794 
  n3227    2.598213403634816  
  n3245    1.466415905366554  
  n3377    4.010912189171959  
  n3384    1.6983022907775214 
  n3393    7.627088711239144  
  n3414    3.135774797490295  
  n3489    0.7090400134714565 
  n3585    7.610362492767805  
  n3607    6.048729365343765  
  n3608    4.756991736917631  
  n3842exp 32.15361999919604  
  n3998    0.916588783718168  
  n4026    0.9983283875471166 
  n4151    3.752457997208336  
  n4261    6.644856266190376  
  n4291    1.97803986484024   
  n4388    1.3351769570910477 
  n4459    1.773496873529953  
  n4473    1.9211711938433136 
  n4564    0.8847849740754927 
  n4596    3.6676154715985843 
  n4697    7.511023548614204  
  n4889    30.870220103234526 
  n4945    1.783338665552059  
  n5077    4.71394058847807   
  n5128    4.0180381493870305 
  n5576    5.9756196904973695 
  n5845    0.46425757176508947
  n5846    9.85529227914109   
  n6251    15.619145636721951 
  n7052    12.104051326870527 
  n7619    16.95931646200633  
  n7768    23.515403416809782 
  ugc03789 2.510753043225665  
