# galaxy   type   log(Mbh)          perr                merr               log(sigma)          err                 mag_sph           perr         merr             mag_tot           err  	log(Re_maj)         perr                 merr   
# NGC3079     Sp	  6.38021124549     0.301029995664	0.301029995664     2.02118929907     0.0211892990699	 -23.0133517273     0.660240254075     0.579525	  -24.4491237284     0.25	 -0.165473517402     0.324813281979     0.298095403867     
NGC3091     E	  9.55630250077     0.0118992232997	0.024823583725     2.47275644932     0.0211892990699	 -26.2812693486     0.177975     0.114466666667	  -26.2813140156     0.25	 1.39730513881     0.0661586628819     0.113928049325     
NGC3115     E	  8.94448268156     0.329675172107	0.159152836368     2.40140054078     0.0211892990699	 -24.217739268     0.177975     0.114466666667	  -24.3959716509     0.25	 0.298051727753     0.0661586628819     0.113928049325     
NGC3227     Sp	  7.14612803753     0.234083207959	0.243038040019     2.12385164097     0.0211892990699	 -21.7646801896     0.660240254075     0.579525	  -24.2623757816     0.25	 -0.100087851294     0.324813281979     0.298095403867     
NGC3245     S0	  8.30102999566     0.0969100130081	0.124938736608     2.32221929473     0.0211892990699	 -22.4311801896     0.177975     0.114466666667	  -23.8810194369     0.25	 -0.35882290353     0.0661586628819     0.113928049325     
NGC3377     E	  7.88649071441     0.021994293758	0.0352323765422     2.14301480025     0.0211892990699	 -23.4945324897     0.660240254075     0.579525	  -23.5680710561     0.25	 0.514217468558     0.324813281979     0.298095403867     
NGC3384     S0	  7.23044892595     0.024823582932	0.0543576604192     2.17026171539     0.0211892990699	 -22.4323922174     0.177975     0.114466666667	  -23.7432085628     0.25	 -0.523518183797     0.0661586628819     0.113928049325     
NGC3393     Sp	  7.53147892161     0.024823582932	0.0263289378301     2.29446622616     0.0211892990699	 -23.4814953886     0.660240254075     0.579525	  -25.2945566318     0.25	 -0.441605741654     0.324813281979     0.298095403867     
NGC3414     E	  8.38021125897     0.0511525224474	0.0579919469777     2.37474834601     0.0211892990699	 -24.3503304218     0.177975     0.114466666667	  -24.4158820361     0.25	 0.521326266984     0.0661586628819     0.113928049325     
NGC3489     S0	  6.76342798107     0.056115945994	0.0644579945268     2.02118929907     0.0211892990699	 -21.1263293087     0.660240254075     0.579525	  -23.0704183946     0.25	 -0.913497921012     0.324813281979     0.298095403867     
NGC3585     E	  8.49136168047     0.161850821797	0.0934216925105     2.31386722037     0.0211892990699	 -25.5169730568     0.660240254075     0.579525	  -25.5537690423     0.25	 0.996657298297     0.324813281979     0.298095403867     
# NGC3607     E	  8.11394333638     0.141329157221	0.210853375271     2.35024801833     0.0211892990699	 -25.3644648723     0.660240254075     0.579525	  -25.4455310614     0.25	 0.872526944036     0.324813281979     0.298095403867     
NGC3608     E	  8.30102999566     0.19033170151	0.154901967382     2.2833012287     0.0211892990699	 -24.4960243152     0.660240254075     0.579525	  -24.496030567     0.25	 0.710260534846     0.324813281979     0.298095403867     
# NGC3842     E	  9.98677173427     0.11703198669	0.135513385547     2.43136376416     0.0211892990699	 -26.9998754922     0.177975     0.114466666667	  -27.0411428452     0.25	 1.68151748572     0.0661586628819     0.113928049325     
# NGC3998     S0	  8.90848503933     0.0958363508539	0.116093321442     2.48429983935     0.0211892990699	 -22.3163028358     0.8781     0.660255341786	  -23.5299207894     0.25	 -0.41367048087     0.415780714824     0.38899756588     
NGC4026     S0	  8.2552724936     0.124938743799	0.0791812518001     2.25042000231     0.0211892990699	 -21.584069656     0.8781     0.660255341786	  -23.1579625114     0.25	 -0.658329232068     0.415780714824     0.38899756588     
NGC4151     Sp	  7.81291334071     0.0444191415169	0.0494853652256     2.19312459835     0.0211892990699	 -23.4008499783     0.660240254075     0.579525	  -24.4446549783     0.25	 -0.132678700917     0.324813281979     0.298095403867     
# NGC4261     E	  8.69897000434     0.0791812460476	0.0969100130081     2.48995847942     0.0211892990699	 -25.7200535825     0.660240254075     0.579525	  -25.7601790797     0.25	 0.895338323245     0.324813281979     0.298095403867     
NGC4291     E	  8.5185139336     0.104735349399	0.615423972497     2.45484486001     0.0211892990699	 -24.0462009022     0.660240254075     0.579525	  -24.0462154658     0.25	 0.266823049315     0.324813281979     0.298095403867     
# NGC4388     Sp	  6.87506128065     0.0114294618683	0.0117384033636     2.02938377769     0.0211892990699	 -21.2597446069     0.8781     0.660255341786	  -23.4969162148     0.25	 -0.424297655774     0.415780714824     0.38899756588     
# NGC4459     S0	  7.83250891727     0.0759761028826	0.092146218367     2.25042000231     0.0211892990699	 -23.481598262     0.660240254075     0.579525	  -24.0135203276     0.25	 0.1459641371     0.324813281979     0.298095403867     
NGC4473     E	  8.0791812633     0.124938733912	0.602059905041     2.25285303098     0.0211892990699	 -23.8796571541     0.660240254075     0.579525	  -24.106589762     0.25	 0.532081821695     0.324813281979     0.298095403867     
NGC4564     S0	  7.77815126764     0.0211892977859	0.0705810742857     2.19589965241     0.0211892990699	 -22.3044642789     0.177975     0.114466666667	  -22.9918671223     0.25	 -0.450303905482     0.0661586628819     0.113928049325     
# NGC4596     S0	  7.89762710309     0.170558764855	0.234869263527     2.17318626841     0.0211892990699	 -22.7272446069     0.177975     0.114466666667	  -24.175174151     0.25	 -0.263991625181     0.0661586628819     0.113928049325     
NGC4697     E	  8.2552724936     0.0457574923583	0.0248235847825     2.23299611039     0.0211892990699	 -24.8182242567     0.8781     0.660255341786	  -24.9405909123     0.25	 1.12139809705     0.415780714824     0.38899756588     
# NGC4889     E	  10.3222192947     0.245982429333	0.623249290398     2.54032947479     0.0211892990699	 -27.5418984865     0.177975     0.114466666667	  -27.5418520986     0.25	 1.7773403696     0.0661586628819     0.113928049325     
# NGC4945     Sp	  6.14612804908     0.301029995664	0.301029995664     2.0     0.0211892990699	 -20.9591179831     0.660240254075     0.579525	  -23.7867391747     0.25	 -0.592205139135     0.324813281979     0.298095403867     
NGC5077     E	  8.86923172533     0.213553641566	0.225779039429     2.40654018043     0.0211892990699	 -25.4536860802     0.177975     0.114466666667	  -25.4537348636     0.25	 0.671434592838     0.0661586628819     0.113928049325     
# NGC5128     merger	  7.65321250227     0.13917918013	0.109144474561     2.07918124605     0.0211892990699	 -23.8868179831     0.8781     0.660255341786	  -24.967952366     0.25	 0.05286711151     0.415780714824     0.38899756588     
NGC5576     E	  8.20411998913     0.0746336199999	0.124938736608     2.23299611039     0.0211892990699	 -24.4411584041     0.177975     0.114466666667	  -24.4411516367     0.25	 0.869131108019     0.0661586628819     0.113928049325     
NGC5845     S0	  8.41497333204     0.0621479097357	0.373580684535     2.37657695706     0.0211892990699	 -22.9615027039     0.8781     0.660255341786	  -23.0999454341     0.25	 -0.352245469792     0.415780714824     0.38899756588     
NGC5846     E	  9.04139268516     0.0377885608894	0.0413926851582     2.37474834601     0.0211892990699	 -25.8143768299     0.660240254075     0.579525	  -25.8143631124     0.25	 1.09115159643     0.324813281979     0.298095403867     
# NGC6251     E	  8.77085201866     0.126775077871	0.179787401016     2.49276038903     0.0211892990699	 -26.7472584227     0.177975     0.114466666667	  -26.7473013608     0.25	 1.32532487495     0.0661586628819     0.113928049325     
# NGC7052     E	  8.56820172966     0.231138816503	0.225779039429     2.44247976906     0.0211892990699	 -26.3235403968     0.177975     0.114466666667	  -26.3235363887     0.25	 1.28157691238     0.0661586628819     0.113928049325     
NGC7619     E	  9.39794000867     0.120573931206	0.0555173278498     2.46538285145     0.0211892990699	 -26.3511792718     0.660240254075     0.579525	  -26.4118263223     0.25	 1.19828016843     0.324813281979     0.298095403867     
NGC7768     E	  9.11394335231     0.141329152796	0.159700842868     2.40993312333     0.0211892990699	 -26.9012454982     0.660240254075     0.579525	  -26.9012326495     0.25	 1.70580570561     0.324813281979     0.298095403867     
# UGC3789     Sp	  7.03342376675     0.0196546870685	0.0205865297637     2.02938377769     0.0211892990699	 -22.7744268082     0.8781     0.660255341786	  -24.2012964902     0.25	 -0.378136236499     0.415780714824     0.38899756588     
