# MAGSph err_MAGSph logMassBH err_logMassBH 
0.0526967657765 0.619882627037 6.64345267413 0.301029995664 
1.21780632968 0.146220833333 7.5910645911 0.0111381975152 
-0.413589786824 0.146220833333 8.14612802828 0.160167577987 
0.789554511276 0.146220833333 6.20412000328 0.110924374808 
-0.680349171224 0.769177670893 7.86923172533 0.0891915251062 
0.247005429476 0.146220833333 6.77815124068 0.103236949728 
0.177461942976 0.146220833333 6.86332285374 0.0905273385803 
0.268917084576 0.619882627037 7.86332287147 0.28625236213 
-0.672955488124 0.619882627037 6.91907807585 0.020946082459 
-0.623762618724 0.619882627037 8.23044893356 0.0513311702674 
-0.686082915424 0.619882627037 6.38021124549 0.301029995664 
0.562588622276 0.619882627037 7.14612803753 0.238560623989 
-1.15422657672 0.619882627037 7.53147892161 0.0255762603811 
-1.07358116642 0.619882627037 7.81291334071 0.0469522533713 
1.06752420498 0.769177670893 6.87506128065 0.0115839326159 
1.36815082878 0.619882627037 6.14612804908 0.301029995665 
-0.447157996324 0.769177670893 7.03342376675 0.0201206084162 
