# logMassSph err_logMassSph logMassBH err_logMassBH 
-0.0323449054326 -0.247953050815 6.64345267413 0.301029995664 
-0.484828518299 -0.0584883333334 7.5910645911 0.0111381975152 
0.122897180856 -0.0584883333334 8.14612802828 0.160167577987 
-0.240618524129 -0.0584883333334 6.20412000328 0.110924374808 
0.23868248208 -0.307671068357 7.86923172533 0.0891915251062 
-0.0487569578465 -0.0584883333334 6.77815124068 0.103236949728 
-0.0600599890244 -0.0584883333334 6.86332285374 0.0905273385803 
-0.20623604558 -0.247953050815 7.86332287147 0.28625236213 
0.256612145719 -0.247953050815 6.91907807585 0.020946082459 
0.207439664688 -0.247953050815 8.23044893356 0.0513311702674 
0.322675441646 -0.247953050815 6.38021124549 0.301029995664 
-0.221330150596 -0.247953050815 7.14612803753 0.238560623989 
0.391379909655 -0.247953050815 7.53147892161 0.0255762603811 
0.40308577051 -0.247953050815 7.81291334071 0.0469522533713 
-0.382322335227 -0.307671068357 6.87506128065 0.0115839326159 
-0.489825714312 -0.247953050815 6.14612804908 0.301029995665 
0.223550545293 -0.307671068357 7.03342376675 0.0201206084162 
