# logMassSph err_logMassSph logMassBH err_logMassBH 
0.142347720244 -0.0584883333334 9.38021124171 0.192675440682 
0.204440589649 -0.0584883333334 9.04139268516 0.0798504214338 
-0.748937282887 -0.247953050815 8.80617998046 0.0271788311613 
-0.538238841202 -0.247953050815 8.60205999133 0.110924374808 
0.301983601837 -0.0584883333334 9.39794000867 0.0334733948153 
0.160332771358 -0.247953050815 8.95424250944 0.0409106708996 
0.123515906118 -0.247953050815 9.76342799356 0.0262393067494 
-0.486220753762 -0.247953050815 8.67209784031 0.0463770285148 
-0.935741448562 -0.0584883333334 8.91907810236 0.0981473198826 
0.238540244827 -0.0584883333334 8.67209784031 0.0557460109673 
0.199123245993 -0.0584883333334 9.55630250077 0.0183614035124 
-0.389483564522 -0.247953050815 8.30102999566 0.172616834446 
0.504522678112 -0.0584883333334 9.98677173427 0.126272686118 
-0.0328256451451 -0.247953050815 8.69897000434 0.0880456295278 
-0.687133726891 -0.247953050815 8.5185139336 0.360079660947 
0.674060371245 -0.0584883333334 10.3222192947 0.434615859865 
-0.103184119597 -0.0584883333334 8.86923172533 0.219666340497 
0.0622374413578 -0.247953050815 9.04139268516 0.0395906230238 
0.37684076651 -0.0584883333334 8.77085201866 0.153281239443 
0.229166294702 -0.0584883333334 8.56820172966 0.228458927966 
0.230286029502 -0.247953050815 9.39794000867 0.0880456295278 
0.474367721115 -0.247953050815 9.11394335231 0.150514997832 
