#  RA(J2000)     Dec(J2000)       AORKEY      Observation_start_time   ProgramID  
  9h55m33.17s	 +69d03m55.1s	   12485632    2005-05-06       	 121  
  9h55m33.17s	 +69d03m55.1s	   12485888    2004-12-21       	 121  
  9h55m33.17s	 +69d03m55.1s	   12486144    2005-10-24       	 121  
  9h55m33.17s	 +69d03m55.1s	   22353664    2008-04-11              40118  
  9h55m33.17s	 +69d03m55.1s	   22357504    2008-04-11              40118  
  9h55m33.17s	 +69d03m55.1s	   22357760    2008-04-11              40118  
  9h55m33.17s	 +69d03m55.1s	   22358016    2008-04-11              40118  
  9h55m33.17s	 +69d03m55.1s	   22358272    2008-04-12              40118  
  9h55m33.17s	 +69d03m55.1s	   22358528    2008-04-12              40118  
  9h57m32.00s	 +69d02m45.0s	   22537472    2007-11-15              40204  
  9h57m32.00s	 +69d02m45.0s	   22537728    2007-11-15              40204  
  9h57m32.60s	 +69d17m00.0s	   22603520    2007-11-15              40204  
  9h57m32.60s	 +69d17m00.0s	   22603776    2007-11-15              40204  
  9h53m48.50s	 +68d58m08.0s	   22604544    2007-11-22              40204  
  9h53m48.50s	 +68d58m08.0s	   22604800    2007-11-13              40204  
  9h55m24.77s	 +69d01m13.7s	   23106816    2007-11-15              40619  
  9h57m54.05s	 +69d03m47.3s	   23173888    2007-11-13              40714  
  9h55m33.17s	 +69d03m55.1s	   23751936    2008-05-13              40118  
  9h55m33.17s	 +69d03m55.1s	   23752192    2008-05-12              40118  
  9h55m33.17s	 +69d03m55.1s	   5503488     2004-05-01       	 159  
  9h55m33.17s	 +69d03m55.1s	   5503744     2004-05-01       	 159  
  9h55m33.17s	 +69d03m55.1s	   6629120     2003-11-06       	1035  
  9h55m33.17s	 +69d03m55.1s	   7893760     2003-12-04       	1101  
  9h55m33.17s	 +69d03m55.1s	   7894016     2003-12-04       	1101  
  9h55m33.17s	 +69d03m55.1s	   7894272     2003-12-04       	1101  
  9h55m33.17s	 +69d03m55.1s	   7894528     2003-12-04       	1101  
  9h55m33.17s	 +69d03m55.1s	   7894784     2003-12-04       	1101  
  9h55m33.17s	 +69d03m55.1s	   7895040     2003-12-04       	1101  
  9h55m33.17s	 +69d03m55.1s	   7895296     2003-12-04       	1101  
  9h55m33.17s	 +69d03m55.1s	   7895552     2003-12-04       	1101  
  12h25m03.60s   +12d53m14.0s	   4463872     2004-05-27       	  69  
