1 sersic 6.1225 16.5781 0.8006 -99.9999 10.0518
2 disc 37.1000 17.6100 -99.9999 -99.9999 7.7677
3 ferrer 43.1000 18.2000 0.1947 0.0100 8.9786
4 gaussian 2.1943 12.8529 -99.9999 -99.9999 11.0107
Delta 0.026315678421
Total_galaxy_magnitude 7.32726161638
