# galaxy   type      core distance mass_BH         merr_mass_BH    perr_mass_BH    mag_sph merr_mag_sph perr_mag_sph mag_tot err_mag_tot color mass_sph         merr_mass_sph    perr_mass_sph   
  n3245    S0-bar    no   20.3     2.0E8           5.0E7           5.0E7           -22.43  0.11         0.18         -23.88  0.25        -0.1  1.01851376177E10 1.53990065947E9  1.13244225229E9 
  n3377    E         no   10.9     7.69999980927E7 5999999.86589   3999999.91059   -23.49  0.58         0.66         -23.57  0.25        -0.06 3.98981717841E10 1.81783181525E10 2.81416231285E10
  n3384    S0-bar    no   11.3     1.70000001788E7 1999999.9553    999999.977648   -22.43  0.11         0.18         -23.74  0.25        -0.08 1.20386250126E10 1.82013118446E9  1.33852365431E9 
  n3393    Sp-bar    no   55.2     3.40000003576E7 1999999.9553    1999999.9553    -23.48  0.58         0.66         -25.29  0.25        -0.1  2.75507113841E10 1.25525951309E10 1.94325128703E10
  n3414    E         no   24.5     2.40000009537E8 3.00000011921E7 3.00000011921E7 -24.35  0.11         0.18         -24.42  0.25        -0.09 6.48533133002E10 9.80523422148E9  7.21076483583E9 
  n3489    S0/Sp-bar no   11.7     5799999.83311   800000.037998   800000.037998   -21.13  0.58         0.66         -23.07  0.25        -0.06 4.22485417536E9  1.92491886002E9  2.97994240487E9 
  n3585    E         no   19.5     3.09999990463E8 6.00000023842E7 1.39999997616E8 -25.52  0.58         0.66         -25.55  0.25        -0.1  1.76160017666E11 8.02616436713E10 1.24252029749E11
  n3607    E         no   22.2     1.29999995232E8 5.0E7           5.0E7           -25.36  0.58         0.66         -25.45  0.25        -0.1  1.47611894315E11 6.72546098723E10 1.04116006157E11
  n3608    E         yes  22.3     2.0E8           6.00000023842E7 1.10000002384E8 -24.5   0.58         0.66         -24.5   0.25        -0.08 7.83591517567E10 3.57018261012E10 5.52695429089E10
  n3842    E         yes  98.4     9.7E9           2.6E9           3.0E9           -27.0   0.11         0.18         -27.04  0.25        -0.11 6.13897646904E11 9.28157700755E10 6.82566755626E10
  n3998    S0-bar    no   13.7     8.10000038147E8 1.89999997616E8 2.0E8           -22.32  0.66         0.88         -23.53  0.25        -0.12 7.79295517186E9  4.32189471504E9  6.52247209377E9 
  n4026    S0-bar    no   13.2     1.79999995232E8 3.00000011921E7 6.00000023842E7 -21.58  0.66         0.88         -23.16  0.25        -0.09 5.01499676257E9  2.78126686554E9  4.19740338715E9 
  n4151    Sp-bar    no   20.0     6.49999976158E7 7000000.0298    7000000.0298    -23.4   0.58         0.66         -24.44  0.25        -0.09 2.83034044935E10 1.28955355264E10 1.99634145349E10
  n4261    E         yes  30.8     5.0E8           1.0E8           1.0E8           -25.72  0.58         0.66         -25.76  0.25        -0.12 1.78134338537E11 8.11611794476E10 1.25644589644E11
  n4291    E         yes  25.5     3.29999995232E8 2.5E8           8.99999976158E7 -24.05  0.58         0.66         -24.05  0.25        -0.11 3.9485674738E10  1.79903771465E10 2.78506740475E10
  n4388    Sp-bar    no?  17.0     7500000.29802   200000.009499   200000.009499   -21.26  0.66         0.88         -23.5   <=          -0.07 4.63906622489E9  2.57277956281E9  3.88276068907E9 
  n4459    S0        no   15.7     6.80000007153E7 1.29999995232E7 1.29999995232E7 -23.48  0.58         0.66         -24.01  0.25        -0.09 2.9404872782E10  1.33973841097E10 2.07403199438E10
  n4473    E         no   15.3     1.20000004768E8 8.99999976158E7 4.0000000596E7  -23.88  0.58         0.66         -24.11  0.25        -0.1  3.87117550985E10 1.76377655655E10 2.73048005438E10
  n4564    S0        no   14.6     6.00000023842E7 9000000.35763   2999999.93294   -22.3   0.11         0.18         -22.99  0.25        -0.11 8.20324554922E9  1.24025650955E9  9.12084079223E8 
  n4596    S0-bar    no   17.0     7.90000021458E7 3.30000013113E7 3.79999995232E7 -22.73  0.11         0.18         -24.18  0.25        -0.08 1.55255207427E10 2.34731827174E9  1.72621680115E9 
  n4697    E         no   11.4     1.79999995232E8 1.0000000149E7  2.0000000298E7  -24.82  0.66         0.88         -24.94  0.25        -0.09 1.00343981703E11 5.56497650305E10 8.39849333147E10
  n4889    E         yes  103.2    2.1E10          1.6E10          1.6E10          -27.54  0.11         0.18         -27.54  0.25        -0.12 9.07055083956E11 1.37138522265E11 1.00851607585E11
  n4945    Sp-bar    no?  3.8      1400000.04321   700000.021607   1400000.04321   -20.96  0.58         0.66         -23.79  <=          -0.06 3.62182275728E9  1.65016699838E9  2.55460254233E9 
  n5077    E         yes  41.2     7.40000009537E8 3.0E8           4.69999980927E8 -25.45  0.11         0.18         -25.45  0.25        -0.11 1.51491815757E11 2.29041919455E10 1.68437324539E10
  n5128    merger    no?  3.8      4.49999988079E7 1.0000000149E7  1.70000001788E7 -23.89  0.66         0.88         -24.97  0.25        -0.07 4.96200028727E10 2.7518755523E10  4.15304691087E10
  n5576    E         no   24.8     1.60000002384E8 4.0000000596E7  3.00000011921E7 -24.44  0.11         0.18         -24.44  0.25        -0.09 7.09030616932E10 1.07199014444E10 7.88341070013E9 
  n5845    S0        no   25.2     2.59999990463E8 1.5E8           4.0000000596E7  -22.96  0.66         0.88         -23.1   0.25        -0.12 1.43516251185E10 7.95926723355E9  1.20118841019E10
  n5846    E         yes  24.2     1.1E9           1.0E8           1.0E8           -25.81  0.58         0.66         -25.81  0.25        -0.1  2.21722992762E11 1.01020947174E11 1.56389243473E11
  n6251    E         yes? 104.6    5.90000009537E8 2.0E8           2.0E8           -26.75  0.11         0.18         -26.75  0.25        -0.12 4.57524186094E11 6.91735175639E10 5.08701737005E10
  n7052    E         yes  66.4     3.70000004768E8 1.5E8           2.59999990463E8 -26.32  0.11         0.18         -26.32  0.25        -0.11 3.25641379086E11 4.92340303319E10 3.62066837593E10
  n7619    E         yes  51.5     2.5E9           3.0E8           8.0E8           -26.35  0.58         0.66         -26.41  0.25        -0.11 3.26482058547E11 1.48751044621E11 2.30279600268E11
  n7768    E         yes  112.8    1.3E9           4.0E8           5.0E8           -26.9   0.58         0.66         -26.9   0.25        -0.11 5.72718235938E11 2.609406356E11   4.03958879164E11
  ugc03789 Sp-bar    no?  48.4     1.08000002801E7 499999.988824   499999.988824   -22.77  0.66         0.88         -24.2   0.25        -0.07 1.87198969136E10 1.03818669238E10 1.56679978936E10
