# galaxy lognmaj err_logn 
ic1459 0.816413657488 0.0671355713866 
ic2560 -0.0965844142309 0.186467313354 
ic4296 0.766182252875 0.0671355713866 
m104 0.763345619557 0.186467313354 
m105 0.713885176907 0.186467313354 
m106 0.29793550636 0.0671355713866 
m31 0.347778717065 0.0671355713866 
m49 0.818529397662 0.0671355713866 
m59 0.744269507111 0.0671355713866 
m64 -0.0711434664181 0.0671355713866 
m81 0.221048911693 0.246127889722 
m84 0.891336710367 0.186467313354 
m87 0.99972196255 0.186467313354 
m89 0.663861047846 0.186467313354 
m94 -0.0247060846438 0.0671355713866 
m96 0.170818898034 0.0671355713866 
n0524 0.0467682196608 0.0671355713866 
n0821 0.726987870438 0.246127889722 
n1023 0.329621580019 0.0671355713866 
n1300 0.58136930171 0.186467313354 
n1316 0.311181486433 0.186467313354 
n1332 0.706896923855 0.246127889722 
n1374 0.570729693048 0.0671355713866 
n1399 1.00009119227 0.0671355713866 
n2273 0.325679826843 0.186467313354 
n2549 0.354569392117 0.0671355713866 
n2778 0.101609617233 0.186467313354 
n2787 0.0517311960598 0.186467313354 
n2974 0.15445440614 0.186467313354 
n3079 0.106428894793 0.186467313354 
n3091 0.881789657203 0.0671355713866 
n3115 0.643403322036 0.0671355713866 
n3227 0.234719704622 0.186467313354 
n3245 0.456851685382 0.0671355713866 
n3377 0.887583545567 0.186467313354 
n3384 0.191255342246 0.0671355713866 
n3393 0.528106461141 0.186467313354 
n3414 0.68567009649 0.0671355713866 
n3489 0.167878305298 0.186467313354 
n3585 0.715844630115 0.186467313354 
n3607 0.737828505896 0.186467313354 
n3608 0.715008338466 0.186467313354 
n3842 0.909395545967 0.0671355713866 
n3998 0.0770406983425 0.246127889722 
n4026 0.378125245619 0.246127889722 
n4151 0.131361989116 0.186467313354 
n4261 0.670885687484 0.186467313354 
n4291 0.627765141968 0.186467313354 
n4388 -0.200935280649 0.246127889722 
n4459 0.497896742913 0.186467313354 
n4473 0.358677084513 0.186467313354 
n4564 0.41242694501 0.0671355713866 
n4596 0.427080188436 0.0671355713866 
n4697 0.858603359279 0.246127889722 
n4889 0.906991913613 0.0671355713866 
n4945 0.15648857605 0.186467313354 
n5077 0.621736969974 0.0671355713866 
n5128 0.0683343131173 0.246127889722 
n5576 0.524785449321 0.0671355713866 
n5845 0.402966001582 0.246127889722 
n5846 0.809472173592 0.186467313354 
n6251 0.833338388939 0.0671355713866 
n7052 0.62144633312 0.0671355713866 
n7619 0.720324717417 0.186467313354 
n7768 0.926301279321 0.186467313354 
ugc03789 0.275196141786 0.246127889722 
