# galaxy re_maj_gaussian_comb mue_maj_gaussian_comb n_maj_gaussian_comb msph_maj_gaussian_comb mtot_maj_gaussian_comb re_maj_gaussian_log mue_maj_gaussian_log n_maj_gaussian_log msph_maj_gaussian_log mtot_maj_gaussian_log re_maj_moffat_comb mue_maj_moffat_comb n_maj_moffat_comb msph_maj_moffat_comb mtot_maj_moffat_comb re_maj_moffat_log mue_maj_moffat_log n_maj_moffat_log msph_maj_moffat_log mtot_maj_moffat_log re_eq_gaussian_comb mue_eq_gaussian_comb n_eq_gaussian_comb msph_eq_gaussian_comb mtot_eq_gaussian_comb re_eq_gaussian_log mue_eq_gaussian_log n_eq_gaussian_log msph_eq_gaussian_log mtot_eq_gaussian_log re_eq_moffat_comb mue_eq_moffat_comb n_eq_moffat_comb msph_eq_moffat_comb mtot_eq_moffat_comb re_eq_moffat_log mue_eq_moffat_log n_eq_moffat_log msph_eq_moffat_log mtot_eq_moffat_log
n4486a "" "" "" "" 8.71783062598 "" "" "" "" 8.36300168851 "" "" "" "" 8.7172804774 "" "" "" "" 8.36607547761 "" "" "" "" 8.94052217074 "" "" "" "" 8.6484162668 "" "" "" "" 8.93983378807 "" "" "" "" 8.65221679631 
n4564 5.7378 15.4084 2.6413 8.4417 7.07990029397 4.6178 15.5757 3.375 8.9538 7.16721727075 5.0092 15.2261 2.5848 8.5655 7.08378380395 3.7327 15.2615 3.3175 9.1106 7.17239773388 6.7042 15.7689 2.9396 8.4091 7.82240735391 21.5887 18.1664 5.7646 7.9143 7.65578581093 6.0165 15.6492 2.9804 8.5173 7.82989715659 18.3881 18.038 6.1004 8.1044 7.73685706831 
n4596 6.8373 15.9584 2.5936 8.6205 6.59500022923 4.0066 15.9324 3.0468 9.6719 6.60843097353 6.6067 15.9315 2.6735 8.6525 6.59545875692 4.4652 16.1493 3.8267 9.5349 6.61272512884 9.1744 16.429 2.9004 8.395 6.97591972514 3.4285 16.0251 3.4158 10.0436 6.9800904412 9.0108 16.4387 3.0077 8.425 6.9770704559 3.2503 15.9354 4.0407 9.9821 6.9832136194 
n4697 237.5059 20.6058 7.0917 5.0365 4.91086305729 472.6039 21.9665 7.8597 4.8483 4.69660321562 239.2866 20.6217 7.2211 5.0264 4.90519188534 449.7777 21.8723 7.8865 4.8597 4.71300606602 218.0595 20.8263 4.5082 5.6823 5.44209059755 219.6487 20.8358 7.0537 5.439 5.34200399904 226.3845 20.8986 6.6652 5.4663 5.34393334441 215.5777 20.7987 7.2207 5.4301 5.34404239118 
n4889 120.9667 21.0346 8.2162 6.8518 6.85180190854 121.4333 21.024 7.8522 6.8571 6.85708170676 119.6977 21.0119 8.0722 6.8615 6.8615284985 117.5643 20.9543 7.4825 6.8834 6.88338806974 62.1417 20.1586 6.9987 7.5077 7.50770312307 66.9873 20.2909 6.9011 7.4845 7.48447641886 60.8455 20.115 6.7831 7.5265 7.52654638787 60.8244 20.0934 6.1768 7.5554 7.55540651088 
n4945 13.8794 14.9452 1.4306 6.3688 2.70580720589 15.998 15.4077 1.375 6.5422 2.71131295709 13.8815 14.9484 1.4338 6.3705 2.70586788271 16.0499 15.4193 1.3779 6.5456 2.7114145395 9.4832 14.7717 1.7008 6.9369 4.11196787674 12.3266 15.6945 1.7519 7.2756 4.13375305947 9.4762 14.775 1.7078 6.9398 4.11217880834 12.4258 15.7228 1.7702 7.2813 4.13407007243 
n5077 23.3505 17.6586 4.2367 7.3986 7.39860385244 23.5233 17.6755 4.0921 7.4177 7.41769446089 23.4943 17.6728 4.1854 7.4058 7.40584759376 23.8014 17.7015 3.9521 7.4364 7.43635439522 22.7346 17.982 5.8739 7.6077 7.60767807859 23.5559 18.0608 5.8443 7.612 7.61203868309 22.9725 18.0053 5.738 7.6208 7.62075121654 23.8824 18.0869 5.2965 7.6603 7.66034163079 
n5128 61.2736 15.7318 1.172 4.0273 2.65964854737 60.3 15.7636 1.2246 4.0728 2.69078799749 61.3068 15.7322 1.1704 4.0272 2.65959113729 60.4861 15.7639 1.2153 4.0701 2.6899706318 60.7604 16.009 2.1978 4.012 2.93059903555 68.4068 16.0835 1.5273 4.0113 2.93082882853 60.7821 16.0097 2.1968 4.0121 2.93096561705 68.5877 16.0859 1.5219 4.0097 2.93024982012 
n5576 61.5367 19.4082 3.3471 7.1672 7.16715493744 61.7307 19.421 3.8426 7.1011 7.10113251194 61.5325 19.4083 3.348 7.1673 7.16729849124 61.1283 19.3995 3.7546 7.113 7.11301011894 49.3209 19.3416 3.7075 7.5278 7.52775981917 49.1238 19.3389 4.2857 7.4579 7.4578534661 49.3265 19.3419 3.6842 7.5311 7.53110676747 49.1528 19.3408 4.2954 7.4573 7.45728459901 
n5813 155.5392 20.6996 6.4695 6.0982 6.09819171648 164.086 20.7982 6.3474 6.0908 6.09079772723 149.9791 20.6312 6.3771 6.1165 6.11653675038 165.8214 20.8196 6.3565 6.0886 6.08862533373 86.1657 19.8462 5.7678 6.5882 6.58824671421 87.1033 19.8664 5.5083 6.6093 6.6092923511 83.6402 19.7881 5.6755 6.6033 6.60333155704 90.1226 19.9335 5.5485 6.5986 6.59863088462 
n5845 4.1596 14.9673 2.5544 8.7164 8.60996357283 5.4313 15.7914 3.28 8.832 8.66810720455 3.6373 14.7915 2.5291 8.837 8.62498606464 5.1532 15.8994 4.2188 8.9226 8.67718039625 4.339 15.6313 3.2963 9.1569 8.90607250046 4.1251 15.3298 2.7588 9.0573 9.05732563147 3.1445 14.6439 2.339 9.0455 8.90705726984 4.4752 15.5813 2.6193 9.1586 5.4960421022 
n5846 105.4323 19.6795 6.5031 5.9197 5.91971043517 95.7129 19.4626 5.6705 5.9855 5.98547324028 105.1384 19.673 6.4487 5.9237 5.92368546236 96.7196 19.4818 5.6344 5.9854 5.98539716178 83.5752 19.2878 5.7139 6.1012 6.10116486105 79.1098 19.165 5.1864 6.1488 6.14879100988 83.4206 19.2836 5.6734 6.1047 6.10471371747 78.3143 19.1418 5.053 6.1613 6.16126725234 
n6251 41.3193 19.7984 6.8455 8.0455 8.04545872912 48.3968 20.1498 8.869 7.9154 7.91543018134 41.7079 19.8199 6.813 8.0492 8.04917913346 50.1213 20.2274 8.5778 7.9349 7.93485404295 29.939 19.2947 5.6674 8.3416 8.34155199899 31.4086 19.4013 6.0636 8.3083 8.3082895096 30.1437 19.3099 5.5779 8.3504 8.3503570619 31.9244 19.435 5.7585 8.3339 8.33394394894 
n7052 59.6261 19.3832 4.2222 7.0893 7.08927382159 63.6939 19.5066 4.3262 7.0566 7.05656339081 59.4065 19.3756 4.1826 7.0946 7.09464709052 63.0323 19.4846 4.2297 7.0692 7.06915517419 37.1291 19.1967 5.6784 7.7751 7.77508444005 41.8634 19.4369 5.8266 7.7411 7.74113810486 36.9948 19.1891 5.5523 7.7873 7.78730400811 40.0524 19.3416 5.2732 7.7946 7.79461093821 
n7582 2.7676 13.1421 0.7946 8.3433 6.34072429544 1.9518 12.2175 1.2285 7.9747 6.39484524983 2.9619 13.4224 0.7154 8.5226 6.48909259967 2.2221 12.6875 1.0429 8.2408 6.50164120319 2.3894 12.8893 0.6429 8.5018 6.73603167963 2.4799 13.1617 0.6203 8.7085 6.71207357214 2.3183 12.81 0.6465 8.4857 6.73285301888 2.5438 13.2973 0.556 8.8342 6.72037267067 
n7619 62.708 19.5109 5.1053 7.0075 6.93523901536 65.5865 19.6059 5.1411 7.0014 6.93475160484 63.2018 19.5286 5.252 6.9933 6.92742654515 66.6632 19.6414 5.3373 6.9817 6.92555021054 57.7367 19.5402 5.0438 7.2226 7.1548146407 64.3723 19.7674 5.5281 7.1651 7.11733735961 57.986 19.5505 5.1878 7.2087 7.14805294948 65.6804 19.8108 5.7975 7.1396 7.10527989738 
n7768 95.7163 21.4287 8.7275 7.7221 7.72207270937 92.8787 21.3461 8.0596 7.7474 7.74735505508 92.8799 21.3662 8.4392 7.7429 7.74286496492 143.8253 22.1706 9.3078 7.5454 7.54535044952 44.6489 20.2627 7.1815 8.316 8.31596759651 59.9958 20.8107 7.6739 8.1871 8.18711265229 42.1119 20.1466 6.7437 8.3603 8.36031284878 57.3037 20.7137 7.0244 8.2369 8.23692312401 
ugc03789 2.2372 15.4004 1.1841 10.8788 8.7033232248 1.6595 15.3364 2.0171 11.2011 8.72956854499 1.7842 15.2581 1.8845 10.9996 8.6942567435 1.5294 15.2599 2.2962 11.236 8.74175107679 2.429 15.3636 1.3416 10.6033 9.21709707043 2.3279 15.7608 2.4802 10.7854 9.25685675332 2.3946 15.3922 1.3778 10.6498 9.222930318 2.1713 15.5848 2.3026 10.7986 9.27491736824 
